nl_query,explanation,db
"Identify the top 10 suppliers who have consistently provided raw materials on time, with at least 95% order accuracy, over the last decade in North America.","     This query involves joining supplier records with order details and filtering based on geography and performance metrics, which relational databases handle efficiently through indexing and structured joins.",rdbms
Find all employees who have improved their performance ratings by at least 50% over the past five years and have participated in more than two professional development programs.,     This involves analyzing time-series data and complex joins between performance reports and training records.,rdbms
List the top 5 cities where the property tax collection improved by over 20% annually over the past five years while maintaining an average population growth of 3%.,"     The query requires aggregating tax collection data along with demographic trends, best handled with relational data aggregations.",rdbms
Select the top 3 contractors who have completed at least 20 infrastructure projects with fewer than 2% cost overruns and no safety incidents in the last ten years.,"     These operations involve multiple joins between tables like projects, budgets, and safety records.",rdbms
Identify products whose sales have doubled each quarter in the last two years in at least three different regions.,"     You need complex computations on sales trends and geographical data, making use of efficient indexed queries.",rdbms
Determine the top 5 universities whose alumni have generated the highest number of startups valued at over $10 million within five years of graduation.,     This requires linking alumni with their entrepreneurial activities and financial evaluations.,rdbms
"Find all industries where the average workforce salaries have increased by at least 5% each year in the last five years, but the employment rate declined.","     It involves complex calculations and comparisons across multiple datasets, including employment and wage data.",rdbms
List the top 10 healthcare providers who have maintained patient satisfaction scores above 95% while reducing their operation costs by at least 10% annually.,"     This involves multiple metrics across different database tables, suitable for relational database queries.",rdbms
"Identify the top 5 film directors who have produced movies grossing over $100 million but with production budgets under $10 million, over the past decade.","     This requires querying complex data involving movie budgets, revenues, and director records.",rdbms
Select all food suppliers who have reduced delivery times by 30% while maintaining or improving quality scores in urban areas over the past three years.,"      It requires indexing across delivery timelines, quality measures, and geographic constraints.",rdbms
Identify the regions where the average house price has doubled in value over the past five years while residency rates increased by 10%.,      Relational databases best handle historical data manipulations and complex joins involving real estate and demographic data.,rdbms
List all authors who have published at least five bestsellers in the last ten years while their books' average ratings stayed above 4.5 stars.,      This query involves complex joins between sales and review databases.,rdbms
Find all companies that have increased their market share by 15% annually in at least two different continents over the past five years.,      Analysis of structured market share data across multiple dimensions (time and location) is ideal for relational databases.,rdbms
Select the top 10 athletes who won at least three international competitions and improved their personal record times in the last five years.,      You need efficient cross-referencing of competition records and performance metrics.,rdbms
Identify all transport companies that have decreased their carbon footprint by 20% per annum while expanding their fleet by at least 10% each year.,      This involves complex environmental impact calculations and inventory expansions best handled relationally.,rdbms
"List all technologies filed for patents which later crossed $1 billion in market value within five years, in the tech equipment sector.",      Joins between patent filings and financial market results require complex transactions history analyses.,rdbms
Select the top 5 publishing houses that have consistently succeeded in reducing their book production costs by 10% while increasing sales by 15% annually over the past decade.,      Requires analytics on financials and performance metrics from multiple data sources.,rdbms
Identify cities where energy consumption has decreased by 20% while GDP increased by at least 2% annually over five years.,      Data modeling of economic and energy metrics often involves relational database efficiencies for deriving insights.,rdbms
"Find retail chains where, over the past seven years, store openings have grown by 5% annually with a 98% satisfaction score maintained.",      The complexity of transactional and survey data linked over time benefits from the relational model.,rdbms
Select all hospitals where the average recovery times for complex surgeries reduced by at least 15% and patient influx increased by 10% in the past three years.,      Relational joins and subqueries efficiently correlate healthcare results and patient records over time.,rdbms
"Identify artists who have exhibited in at least three different countries annually and increased their auction sale prices by 25% each year, over the previous decade.",      Dealing with exhibition and sales records across geographies and times involves relational data efficiencies.,rdbms
List all automobile brands that launched five or more eco-friendly models over the past decade while securing a 25% market growth annually.,"      The integration of launch, market, and environmental performance data suits relational structures.",rdbms
Find all schools that improved their student-teacher ratio by 10% each year and exceeded the national standard testing scores by 20% in the last five years.,      Complex educational metrics meshed with standardized result analyses are best handled in a relational framework.,rdbms
"Select top 5 financial analysts consistently predicting market trends with over 90% accuracy, achieving at least a 15% portfolio growth in three distinct financial sectors over ten years.",      Historical accuracy indices and cross-sector growth metrics necessitate robust relational querying capabilities.,rdbms
Identify top 5 volunteer organizations where intern participation rose by 10% annually while project impact ratings averaged above 4.7 over the past seven years.,"      Multi-dimensional data like volunteer efforts, project links, and ratings are optimized in relational databases.",rdbms
List cities demonstrating a yearly 5% increase in public transport usage while reducing private vehicle emissions by at least 10% over the past decade.,      Transportation and environmental impact metrics integration benefits from the relational structure.,rdbms
Find online platforms where user growth doubled each year and the content approval rating remained above 85% over the last three years.,      Complex user growth trends and feedback loops are efficiently analyzed in relational systems.,rdbms
"Select the top 5 regions with the highest increase in renewable energy adoption of over 10% yearly, correlating with an economic growth of at least 3% over five years.",      Developing renewable energy metrics alongside economic indicators fits well with relational models.,rdbms
Identify all software companies where annual revenues doubled over the past five years while customer churn rate remained under 5%.,      Requires complex analyses over time-series financial data and customer retention metrics.,rdbms
List all construction companies that decreased their project completion times by 15% annually with a consistent 98% safety compliance record over the past decade.,      Time efficiency and safety record correlations benefit from relational query optimizations.,rdbms
Find all musical artists with five years of consistent top chart albums released yearly across at least four global markets.,"      Performance trends over time, linked with geographic market data, are efficiently managed relationally.",rdbms
Select restaurants that have maintained a 5-star review average while increasing the diversity of their menu offering by 10% every year for the past decade.,      Relational databases can efficiently handle diverse operations data and detailed review correlations.,rdbms
Identify all tourist destinations that saw a 15% increase in visitor numbers yearly while reducing visitor impact on local ecosystems over the past ten years.,"      The complex intersection of tourism, impacts, and environmental data cooperatively fits relational databases.",rdbms
List top 5 IT consultants successfully achieving more than 20% annual improvement in client utilization and project execution under budget constraints over the last five years.,      The efficient merger of financial and performance data suits SQL's powerful data relationship handling.,rdbms
