nl_query,explanation,db
Find all employees within three managerial levels of the CEO who have received a promotion in the last year.,     Hierarchical queries with recursive relationships are quickly navigated in graph structures.,graph
"Identify all suppliers connected through a direct or indirect partnership with a given distributor, and highlight those with at least a 5% profit increase in the last quarter.",     Graph databases excel at handling complex network connections.,graph
List all users who have reviewed more than five similar products within a friend network radius of three degrees.,     Friend networks and similarity searches are efficiently managed as relationships in a graph.,graph
Find all researchers connected by co-authorship chains of up to six degrees and determine which ones have increased their publication rate this year.,     Graph databases efficiently find paths within networks like co-authorship.,graph
"Identify all critical infrastructure nodes vulnerable within two network hops of any failed component in a utilities network, and those that have increased downtime incidents recently.","     Network topologies are inherently graph-based, making path and connection analysis more intuitive.",graph
Find all patients who share reverse references with a set of doctors and have been diagnosed with an increase in symptoms this year.,     Reverse lookups and multi-degree connections are streamlined in graph databases.,graph
List all locations which are reachable via fewer than three sea routes from a major port and have seen shipping volume growth.,     Route-based queries are a natural fit for graph-based analysis.,graph
Identify customers within a loyalty program who are within three purchasing steps of a top-tier customer and have had escalating transaction volumes.,     Relationship proximity is quickly traversable in graph structures.,graph
"Find all books connected by a chain of shared genres up to four links long, indicating those with rising sales.",     Graph databases are ideal for chaining relationships through multiple entities.,graph
Identify all network devices connected with up to two intermediary devices from a central server that have logged more errors this quarter.,      Device networks can be complex webs easily navigated with graph databases.,graph
List all students linked by study groups within less than three hops and determine which have shown grade improvement this semester.,      Peer networks lend themselves well to graph-based queries.,graph
Find all movies with actors who each have up to three connections through shared filmography and have increasing box office performance.,      The multi-actor relationship graph is a classical problem for graph solutions.,graph
Identify all cities that are reachable by a train network within four connections and have seen tourism increases.,      Transport networks naturally map well onto graph models.,graph
List all genetic mutations connected through up to four biological pathways and those increasing in prevalence.,"      Biological pathways are another classic graph problem, where relations are key.",graph
Find all online sellers linked within three referral degrees who are showing an improved sales trend.,      Referrer and referral data create a web that is efficiently navigable as a graph.,graph
Identify all influencers within five mutual connections of a key brand figure and who have increased their follower growth rate.,      Social networks are naturally modeled as graphs due to connection dynamics.,graph
List all computer programs sharing fewer than four functionality links with spyware and have seen a rise in usage.,      Links through functionalities create complex considerations best suited to a graph layout.,graph
Find all linguists connected via work with shared language families up to three degrees and have increased publication insight rates.,      The relationship between linguists and languages forms a network ideal for graph analysis.,graph
Identify all investment opportunities connected through less than three mutual investors and have shown increased ROI.,      Investor connections and shared investment strategies benefit from graph traversal capabilities.,graph
Find all linked patents within two intermediary collaborations and note those with rising citation counts.,      Collaboration and citation networks are best handled with graph representations.,graph
List all neighborhoods connected by fewer than three public transit routes from a downtown area experiencing increased real estate prices.,      Urban connectivity is naturally modeled as complex networks.,graph
Identify all digital platforms within fewer than four API integration degrees of a cornerstone service and have increased user retention metrics.,      API and service network intricacies lend themselves well to graphs.,graph
Find all species connected via up to three common habitats and those with a growing population trend.,      Environmental and ecological networks are inherently graph-based.,graph
List all companies connected by fewer than two shared board members and experiencing a boost in stock prices.,      Corporate governance networks require handling of complex interconnections.,graph
Identify all crop varieties within four experimental hybridization links and observe those with yield improvements.,      Genetic and biological experiments form complex chains best suited to graph traversal.,graph
Find all fictional characters within four narrative connections and those whose stories have gained popularity.,      Narrative webs possess myriad interconnections ideal for graph database analysis.,graph
List all supermarkets connected by fewer than four supply chain links to a central warehousing hub that have seen increasing profits.,"      Supply chain networks, rich in interdependencies, align well with graph databases.",graph
Identify all alumni within two networks of university affiliation who have increasing professional outreach activities.,      Alumni networks necessitate efficient traversal across broad relationships.,graph
Find all devices connected by fewer than three technology licensure agreements and achieving market penetration increase.,      Licensing creates interconnections effectively managed as graphs.,graph
List all renewable energy projects linked through two investor clusters and those expanding capacity.,      Investment and project networks benefit enormously from the relational querying power of graphs.,graph
"Identify all software tools connected by fewer than three shared development technologies, noting those with rising adoption.",      Technology connection graphs highlight the shared ecosystems among tools and platforms.,graph
Find all artists connected by less than four collaborative projects and those receiving increased audience engagement.,      Collaboration and influence networks in media are classic use cases for graph databases.,graph
List all sporting events connected through fewer than four publicity channels and those gaining ticket sales.,      Media and publicity networks form complex yet manageable systems in graph models.,graph
Identify all cuisines linked by two or fewer ingredient similarities that are increasing in popularity globally.,      The network of culinary influences involves nuanced relationships ideal for graph representations.,graph
Find all marketing campaigns within three shared brand strategies and those reporting increasing engagement metrics.,      Brand strategy intersections showcase effective relationships in campaign targeting.,graph
"List all tech startups within four partnerships of a major tech giant, showing a trend in investment growth.",      Startups and funding webs involve multiple layers of connections efficiently explored with graphs.,graph
Identify all academic departments within two degrees of shared research projects and those seeing enrollment increases.,      Academic networks thrive on shared partnerships which graph databases are ideally suited to represent.,graph
